doctype;parser;file;max mem dif;parser s;real s;user s;sys s;maximum RSS
html;ahd_css;test_google.html;196240;1.7257511615753;1.81;1.52;0.29;105700
html;ahd_css;test_habrahabr_largearticle.html;3479144;37.939388990402;40.90;23.38;17.55;2349100
html;ahd_css;test_wikipedia.html;4500192;22.745518922806;24.18;23.61;0.58;1225624
html;ahd_css;test_wordpress.html;184648;0.55196309089661;0.63;0.61;0.02;62396
html;ahd_xpath;test_google.html;197152;1.6685991287231;1.75;1.66;0.08;105712
html;ahd_xpath;test_habrahabr_largearticle.html;3480536;30.648308038712;33.71;32.61;1.12;2349132
html;ahd_xpath;test_wikipedia.html;4500040;23.699120044708;25.23;24.64;0.60;1225148
html;ahd_xpath;test_wordpress.html;185208;0.52518796920776;0.61;0.57;0.04;62352
html;didom_css;test_google.html;1011256;1.5065910816193;1.54;1.50;0.04;24780
html;didom_css;test_habrahabr_largearticle.html;5924872;20.443526983261;20.50;20.44;0.06;61236
html;didom_css;test_wikipedia.html;5798688;12.578904151917;12.62;12.50;0.13;42872
html;didom_css;test_wordpress.html;484152;0.37064790725708;0.40;0.38;0.01;23140
html;didom_xpath;test_google.html;1010352;1.5921268463135;1.62;1.59;0.03;24316
html;didom_xpath;test_habrahabr_largearticle.html;5923888;20.46796298027;20.51;20.46;0.04;58016
html;didom_xpath;test_wikipedia.html;5793968;12.325633049011;12.37;12.34;0.04;41480
html;didom_xpath;test_wordpress.html;482984;0.4056351184845;0.44;0.43;0.00;22872
html;dom;test_google.html;416800;1.7553470134735;1.78;1.66;0.11;23056
html;dom;test_habrahabr_largearticle.html;0;0;300.08;300.01;0.12;53580
html;dom;test_wikipedia.html;2813584;223.40500617027;223.43;222.55;1.04;36572
html;dom;test_wordpress.html;137792;0.38685083389282;0.41;0.29;0.12;21692
html;dom_xpath;test_google.html;439128;1.5310781002045;1.56;1.47;0.09;23192
html;dom_xpath;test_habrahabr_largearticle.html;3496992;19.647394895554;19.70;19.55;0.14;54096
html;dom_xpath;test_wikipedia.html;4405480;9.2433218955994;9.27;9.12;0.15;38420
html;dom_xpath;test_wordpress.html;159944;0.30555391311646;0.33;0.24;0.08;21868
html;expat_struct;test_google.html;562384;4.3014011383057;4.33;2.84;0.32;22680
html;expat_struct;test_habrahabr_largearticle.html;2572424;33.373780965805;33.40;31.03;1.94;30728
html;expat_struct;test_wikipedia.html;37403304;25.329679965973;25.36;23.14;1.79;62268
html;expat_struct;test_wordpress.html;1211272;1.4179849624634;1.44;0.84;0.22;22596
html;fdom_css;test_google.html;2199552;1.5911531448364;1.67;1.56;0.10;107732
html;fdom_css;test_habrahabr_largearticle.html;11225256;16.28239607811;19.31;15.59;3.73;2354652
html;fdom_css;test_wikipedia.html;5620280;7.9134838581085;9.36;8.85;0.51;1227396
html;fdom_css;test_wordpress.html;1663872;0.35164308547974;0.42;0.39;0.03;64108
html;fdom_xpath;test_google.html;1092752;1.3534669876099;1.43;1.39;0.04;106044
html;fdom_xpath;test_habrahabr_largearticle.html;10315928;15.121164083481;17.89;16.76;1.13;2353104
html;fdom_xpath;test_wikipedia.html;4694392;7.7427389621735;9.08;8.54;0.54;1225880
html;fdom_xpath;test_wordpress.html;562064;0.27793312072754;0.35;0.32;0.02;62784
html;fluentdom_css;test_google.html;922712;1.2895588874817;1.36;1.32;0.04;107020
html;fluentdom_css;test_habrahabr_largearticle.html;4180376;15.106502056122;17.77;16.77;1.01;2350292
html;fluentdom_css;test_wikipedia.html;5197064;8.4890899658203;9.75;9.26;0.49;1226644
html;fluentdom_css;test_wordpress.html;920128;0.28545308113098;0.36;0.33;0.03;63480
html;fluentdom_xpath;test_google.html;496384;1.2672729492188;1.30;1.29;0.00;24608
html;fluentdom_xpath;test_habrahabr_largearticle.html;3745632;16.868546009064;16.92;16.91;0.01;55276
html;fluentdom_xpath;test_wikipedia.html;4770056;9.4057419300079;9.44;9.43;0.01;40692
html;fluentdom_xpath;test_wordpress.html;486640;0.27448511123657;0.30;0.30;0.00;22936
html;ganon_css;test_google.html;7203568;88.699335098267;88.74;88.79;0.01;30412
html;ganon_css;test_habrahabr_largearticle.html;11;11;248.92;249.05;0.06;89684
html;ganon_css;test_wikipedia.html;0;0;300.05;300.19;0.04;64600
html;ganon_css;test_wordpress.html;5575824;13.248174905777;13.32;13.32;0.00;28248
html;html5lib;test_google.html;1935000;22.85351395607;22.89;22.89;0.00;24952
html;html5lib;test_habrahabr_largearticle.html;0;0;300.03;300.17;0.10;55216
html;html5lib;test_wikipedia.html;0;0;300.03;300.12;0.15;41752
html;html5lib;test_wordpress.html;1415080;12.313463926315;12.34;12.34;0.01;24292
html;nokogiri_css;test_google.html;586456;1.5125551223755;1.54;1.49;0.04;24420
html;nokogiri_css;test_habrahabr_largearticle.html;8368032;20.00293803215;20.05;20.01;0.04;60336
html;nokogiri_css;test_wikipedia.html;8119648;13.439683914185;13.48;13.47;0.02;44732
html;nokogiri_css;test_wordpress.html;248224;0.37606596946716;0.40;0.39;0.01;23036
html;phantomjs;test_google.html;0;0;0.02;0.02;0.00;21016
html;phantomjs;test_habrahabr_largearticle.html;0;0;0.02;0.01;0.00;21016
html;phantomjs;test_wikipedia.html;0;0;0.02;0.02;0.00;21196
html;phantomjs;test_wordpress.html;0;0;0.02;0.01;0.00;21140
html;phpquery_css;test_google.html;2708520;2.9513339996338;3.02;2.91;0.11;107532
html;phpquery_css;test_habrahabr_largearticle.html;8934904;282.14103007317;284.86;278.91;6.18;2355052
html;phpquery_css;test_wikipedia.html;0;0;301.16;300.67;0.69;1120788
html;phpquery_css;test_wordpress.html;1309576;0.41879916191101;0.49;0.46;0.03;63792
html;querypath_css;test_google.html;1060920;1.4439880847931;1.48;1.44;0.03;24784
html;querypath_css;test_habrahabr_largearticle.html;4961424;283.41146802902;283.46;283.66;0.02;56724
html;querypath_css;test_wikipedia.html;6047128;162.3026330471;162.34;162.13;0.02;41704
html;querypath_css;test_wordpress.html;1049760;0.43653202056885;0.47;0.46;0.00;23460
html;regexp;test_google.html;163472;0.15210795402527;0.17;0.17;0.00;21592
html;regexp;test_habrahabr_largearticle.html;3920264;2.9460802078247;2.97;2.92;0.04;27576
html;regexp;test_wikipedia.html;6290216;3.1520988941193;3.17;3.10;0.07;28564
html;regexp;test_wordpress.html;130920;0.079884767532349;0.10;0.10;0.00;21388
html;shd_css;test_google.html;16744704;6.4804627895355;6.51;6.47;0.04;39928
html;shd_css;test_habrahabr_largearticle.html;419872;0.0040268898010254;0.03;0.02;0.01;23808
html;shd_css;test_wikipedia.html;103106464;256.01347589493;256.57;256.18;0.55;124372
html;shd_css;test_wordpress.html;15392904;3.691910982132;3.74;3.72;0.02;36932
html;string;test_google.html;819872;0.95669984817505;0.98;0.96;0.02;22824
html;string;test_habrahabr_largearticle.html;3921664;7.8247570991516;7.85;7.84;0.01;27676
html;string;test_wikipedia.html;4030856;7.3300042152405;7.35;7.34;0.00;26212
html;string;test_wordpress.html;106608;0.17904591560364;0.20;0.19;0.00;21528
html;symfony_css;test_google.html;1443064;1.8933491706848;1.92;1.90;0.02;24960
html;symfony_css;test_habrahabr_largearticle.html;9105008;31.949455022812;31.99;31.99;0.02;61048
html;symfony_css;test_wikipedia.html;5394024;14.955731153488;14.99;14.98;0.02;43112
html;symfony_css;test_wordpress.html;817592;0.44316387176514;0.47;0.46;0.01;23620
html;symfony_xpath;test_google.html;993112;1.7331409454346;1.76;1.76;0.00;24292
html;symfony_xpath;test_habrahabr_largearticle.html;8659440;28.608413934708;28.66;28.64;0.03;63736
html;symfony_xpath;test_wikipedia.html;4950256;10.52654004097;10.56;10.48;0.08;41640
html;symfony_xpath;test_wordpress.html;367280;0.32995009422302;0.36;0.34;0.01;23216
html;zend_css;test_google.html;530224;1.3390679359436;1.36;1.35;0.01;24472
html;zend_css;test_habrahabr_largearticle.html;8152528;207.98833799362;208.04;208.13;0.04;59340
html;zend_css;test_wikipedia.html;0;0;300.04;300.26;0.02;42200
html;zend_css;test_wordpress.html;249024;0.33100485801697;0.36;0.35;0.00;22896
html;zend_xpath;test_google.html;500040;1.3467309474945;1.38;1.36;0.01;24280
html;zend_xpath;test_habrahabr_largearticle.html;8124048;208.21196293831;208.26;208.37;0.06;59348
html;zend_xpath;test_wikipedia.html;0;0;300.04;300.26;0.02;41504
html;zend_xpath;test_wordpress.html;219616;0.32513999938965;0.35;0.34;0.01;22704
