doctype;parser;file;max mem dif;parser s;real s;user s;sys s;maximum RSS
xml;ahd_css;test_ozon_balls.xml;583184;0.26654005050659;0.32;0.26;0.05;46428
xml;ahd_css;test_ozon_childbooks.xml;0;0;301.13;299.18;2.17;1696908
xml;ahd_css;test_ozon_complit.xml;73999792;224.85851383209;225.11;224.82;0.46;466840
xml;ahd_css;test_ozon_web.xml;5400184;3.3158578872681;3.54;3.41;0.13;247052
xml;ahd_xpath;test_ozon_balls.xml;583760;0.22755289077759;0.29;0.27;0.01;46488
xml;ahd_xpath;test_ozon_childbooks.xml;0;0;301.11;299.97;1.33;1696976
xml;ahd_xpath;test_ozon_complit.xml;74000304;245.37633109093;245.70;245.21;0.56;466772
xml;ahd_xpath;test_ozon_web.xml;5401376;2.9022209644318;3.12;3.03;0.08;246844
xml;didom_css;test_ozon_balls.xml;581776;0.22944188117981;0.26;0.24;0.01;24360
xml;didom_css;test_ozon_childbooks.xml;452208504;295.8360209465;296.07;288.37;7.88;2066056
xml;didom_css;test_ozon_complit.xml;59276560;37.947691202164;38.04;37.32;0.72;291524
xml;didom_css;test_ozon_web.xml;4282336;2.5463888645172;2.59;2.57;0.02;41124
xml;didom_xpath;test_ozon_balls.xml;580920;0.26276803016663;0.30;0.29;0.00;24092
xml;didom_xpath;test_ozon_childbooks.xml;452207384;298.07926797867;298.27;288.49;10.01;2066360
xml;didom_xpath;test_ozon_complit.xml;59275488;37.276949167252;37.39;36.60;0.81;291332
xml;didom_xpath;test_ozon_web.xml;4281160;2.5771780014038;2.61;2.58;0.03;40968
xml;dom;test_ozon_balls.xml;231656;0.12376499176025;0.15;0.12;0.03;22748
xml;dom;test_ozon_childbooks.xml;0;0;300.90;300.38;0.74;1257532
xml;dom;test_ozon_complit.xml;0;0;300.19;300.09;0.16;200476
xml;dom;test_ozon_web.xml;1982680;5.2583639621735;5.28;5.25;0.03;34140
xml;dom_xpath;test_ozon_balls.xml;249784;0.080445051193237;0.10;0.10;0.00;22344
xml;dom_xpath;test_ozon_childbooks.xml;176073480;80.626970052719;80.81;77.67;3.20;1426296
