doctype;parser;file;max mem dif;parser s;real s;user s;sys s;maximum RSS
html;ahd_css;test_google.html;87040;0.022027015686035;0.04;0.02;0.00;9728
html;ahd_css;test_habrahabr_largearticle.html;3362368;0.17770481109619;0.21;0.18;0.01;37536
html;ahd_css;test_wikipedia.html;4385712;0.12989401817322;0.15;0.13;0.00;25852
html;ahd_css;test_wordpress.html;75200;0.0034499168395996;0.01;0.00;0.00;9124
html;ahd_xpath;test_google.html;87584;0.010945081710815;0.02;0.01;0.00;9736
html;ahd_xpath;test_habrahabr_largearticle.html;3362688;0.17726993560791;0.20;0.18;0.02;37548
html;ahd_xpath;test_wikipedia.html;4386064;0.12515902519226;0.14;0.12;0.01;25852
html;ahd_xpath;test_wordpress.html;75128;0.0035181045532227;0.01;0.00;0.00;9136
html;didom_css;test_google.html;694304;0.016967058181763;0.02;0.01;0.00;10716
html;didom_css;test_habrahabr_largearticle.html;5031256;0.12508797645569;0.13;0.12;0.01;39384
html;didom_css;test_wikipedia.html;5728120;0.071261882781982;0.08;0.07;0.01;27612
html;didom_css;test_wordpress.html;383936;0.0042729377746582;0.01;0.01;0.00;9900
html;didom_xpath;test_google.html;694264;0.010892868041992;0.02;0.02;0.00;10564
html;didom_xpath;test_habrahabr_largearticle.html;5031528;0.12323403358459;0.13;0.12;0.01;39376
html;didom_xpath;test_wikipedia.html;5728680;0.068869113922119;0.08;0.07;0.00;27460
html;didom_xpath;test_wordpress.html;383928;0.0040161609649658;0.01;0.01;0.00;9756
html;dom;test_google.html;320536;0.011283874511719;0.01;0.01;0.00;9756
html;dom;test_habrahabr_largearticle.html;2617376;1.4856939315796;1.50;1.49;0.00;36176
html;dom;test_wikipedia.html;2814088;1.0289971828461;1.03;1.03;0.00;23588
html;dom;test_wordpress.html;87056;0.0026519298553467;0.01;0.00;0.00;8672
html;dom_xpath;test_google.html;320496;0.010117053985596;0.01;0.01;0.00;9756
html;dom_xpath;test_habrahabr_largearticle.html;3495776;0.11073899269104;0.12;0.10;0.02;37768
