doctype;parser;file;max mem dif;parser s;real s;user s;sys s;maximum RSS
xml;didom_css;test_ozon_balls.xml;394288;0.42855000495911;0.45;0.43;0.00;25392
xml;didom_css;test_ozon_childbooks.xml;9;9;314.14;12.15;6.05;894768
xml;didom_css;test_ozon_complit.xml;29936656;64.641546010971;65.14;64.50;0.14;270960
xml;didom_css;test_ozon_web.xml;2279136;4.138612985611;4.17;4.14;0.00;38960
xml;didom_xpath;test_ozon_balls.xml;393936;0.40853810310364;0.43;0.41;0.00;24792
xml;didom_xpath;test_ozon_childbooks.xml;9;9;313.68;12.22;6.27;902424
xml;didom_xpath;test_ozon_complit.xml;29936304;65.564728021622;66.02;65.10;0.48;270928
xml;didom_xpath;test_ozon_web.xml;2278784;4.1690521240234;4.20;4.16;0.01;38444
xml;dom;test_ozon_balls.xml;47272;0.19310188293457;0.21;0.20;0.00;24592
xml;dom;test_ozon_childbooks.xml;9;9;313.12;277.23;1.18;901672
xml;dom;test_ozon_complit.xml;0;0;302.16;301.28;0.18;203792
xml;dom;test_ozon_web.xml;400120;6.8293340206146;6.85;6.78;0.04;34180
xml;dom_xpath;test_ozon_balls.xml;61832;0.14598488807678;0.16;0.13;0.01;24508
xml;dom_xpath;test_ozon_childbooks.xml;9;9;311.28;16.73;8.35;901320
xml;dom_xpath;test_ozon_complit.xml;7223712;86.831989049911;87.31;75.55;10.31;203920
xml;dom_xpath;test_ozon_web.xml;499496;6.7464249134064;6.86;6.31;0.34;34156
xml;expat_stream;test_ozon_balls.xml;22232;1.4497940540314;1.54;1.53;0.00;21560
xml;expat_stream;test_ozon_childbooks.xml;9;9;315.00;307.65;2.86;58084
xml;expat_stream;test_ozon_complit.xml;9;9;312.01;307.49;2.70;25332
xml;expat_stream;test_ozon_web.xml;334248;28.754684925079;28.91;28.48;0.28;21500
xml;expat_struct;test_ozon_balls.xml;1955768;1.8781299591064;2.11;2.00;0.06;25728
xml;expat_struct;test_ozon_childbooks.xml;9;9;325.84;25.95;13.98;901104
xml;expat_struct;test_ozon_complit.xml;245247248;217.7017250061;218.23;210.09;6.26;311416
xml;expat_struct;test_ozon_web.xml;17158376;14.840178966522;14.99;14.56;0.27;43404
xml;fdom_css;test_ozon_balls.xml;493240;1.8001778125763;2.40;2.10;0.20;84028
xml;fdom_css;test_ozon_childbooks.xml;9;9;439.31;20.55;12.10;902068
xml;fdom_css;test_ozon_complit.xml;9;9;312.61;306.06;3.95;415556
xml;fdom_css;test_ozon_web.xml;886040;21.439203977585;25.56;22.84;2.44;573640
xml;fdom_xpath;test_ozon_balls.xml;279584;2.3406610488892;3.06;2.63;0.30;83592
xml;fdom_xpath;test_ozon_childbooks.xml;9;9;414.54;23.59;13.85;899512
xml;fdom_xpath;test_ozon_complit.xml;6442624;253.18028092384;254.81;250.55;2.39;415200
xml;fdom_xpath;test_ozon_web.xml;656000;21.486592054367;25.59;22.92;2.44;573596
xml;fluentdom_css;test_ozon_balls.xml;580176;1.7087979316711;2.41;2.00;0.30;83748
xml;fluentdom_css;test_ozon_childbooks.xml;9;9;412.80;23.56;10.72;896704
xml;fluentdom_css;test_ozon_complit.xml;6898256;212.52817392349;214.62;208.78;3.78;415600
xml;fluentdom_css;test_ozon_web.xml;966800;14.416588068008;18.48;16.07;2.24;574060
xml;fluentdom_xpath;test_ozon_balls.xml;374128;1.4768800735474;1.71;1.65;0.01;24808
xml;fluentdom_xpath;test_ozon_childbooks.xml;9;9;326.15;20.02;11.83;900324
xml;fluentdom_xpath;test_ozon_complit.xml;6725856;188.78331112862;190.04;167.18;21.36;238148
xml;fluentdom_xpath;test_ozon_web.xml;753240;14.230150938034;14.50;14.16;0.14;36528
xml;phantomjs;test_ozon_balls.xml;10512;73.156980991364;73.33;63.44;6.83;42216
xml;phantomjs;test_ozon_childbooks.xml;9;9;312.53;0.05;0.06;21060
