doctype;parser;file;max mem dif;parser s;real s;user s;sys s;maximum RSS
xhtml;ahd_css;test_iana_longlist.xhtml;2947944;3.675390958786;4.3468966;4.109375;0.203125;170287104
xhtml;ahd_xpath;test_iana_longlist.xhtml;2947944;3.6635258197784;4.3238809;4.1875;0.140625;170496000
xhtml;didom_css;test_iana_longlist.xhtml;3852384;1.5380618572235;2.0963994;1.890625;0.1875;32710656
xhtml;didom_xpath;test_iana_longlist.xhtml;3852000;1.5078940391541;2.0653764;1.859375;0.171875;32440320
xhtml;dom;test_iana_longlist.xhtml;2410920;16.981619119644;17.5436954;17.25;0.25;29446144
xhtml;dom_xpath;test_iana_longlist.xhtml;3125688;1.3724188804626;1.9322895;1.734375;0.09375;29921280
xhtml;expat_struct;test_iana_longlist.xhtml;19761912;4.8313739299774;5.3785845;1.734375;0.15625;38604800
xhtml;fdom_css;test_iana_longlist.xhtml;4041192;1.2803180217743;1.9372915;1.84375;0.078125;163008512
xhtml;fdom_xpath;test_iana_longlist.xhtml;3884456;1.2829580307007;1.9482971;1.71875;0.21875;163094528
xhtml;fluentdom_css;test_iana_longlist.xhtml;3772704;1.375020980835;2.0323558;1.828125;0.203125;164876288
xhtml;fluentdom_xpath;test_iana_longlist.xhtml;3475688;1.4815740585327;2.0333547;1.859375;0.140625;30539776
xhtml;ganon_css;test_iana_longlist.xhtml;0;0;299.0913955;298.390625;0.53125;41963520
xhtml;html5lib;test_iana_longlist.xhtml;4464656;52.938606023788;53.4926634;53.3125;0.140625;31825920
xhtml;nokogiri_css;test_iana_longlist.xhtml;6992360;1.7516748905182;2.3015322;2.15625;0.125;34652160
xhtml;phantomjs;test_iana_longlist.xhtml;3418016;70.144184827805;70.6731171;0.640625;0.078125;20213760
xhtml;phpquery_css;test_iana_longlist.xhtml;3961192;61.431918859482;62.0953952;61.84375;0.15625;173637632
xhtml;querypath_css;test_iana_longlist.xhtml;4235520;17.336637020111;17.8999354;17.640625;0.25;31449088
xhtml;regexp;test_iana_longlist.xhtml;4351728;0.17873096466064;0.7214801;0.640625;0.09375;21860352
xhtml;shd_css;test_iana_longlist.xhtml;65444832;21.582570075989;22.8692462;22.609375;0.234375;82386944
xhtml;simplexml_xpath;test_iana_longlist.xhtml;605512;0.34608387947083;0.897598;0.65625;0.21875;23572480
xhtml;string;test_iana_longlist.xhtml;3271888;1.8910429477692;2.4316211;2.296875;0.140625;20852736
xhtml;symfony_css;test_iana_longlist.xhtml;4028624;2.3850228786469;2.947964;2.796875;0.15625;33050624
xhtml;symfony_xpath;test_iana_longlist.xhtml;3619688;1.6564099788666;2.2124733;2.03125;0.15625;31612928
xhtml;zend_css;test_iana_longlist.xhtml;3902528;3.2387001514435;3.8145431;3.640625;0.15625;30810112
xhtml;zend_xpath;test_iana_longlist.xhtml;3874600;3.1801719665527;3.7575045;3.515625;0.234375;31129600
